,Anou,Tipo,sector,Monto
158,2012,48201,EDUCATIVAS,862900
159,2012,48201,EDUCATIVAS,850600
160,2012,48201,EDUCATIVAS,802700
161,2012,48201,EDUCATIVAS,727200
162,2012,48201,EDUCATIVAS,726200
163,2012,48201,EDUCATIVAS,682000
164,2012,48201,EDUCATIVAS,676600
165,2012,48201,EDUCATIVAS,638000
166,2012,48201,EDUCATIVAS,509100
167,2012,48201,EDUCATIVAS,507800
168,2012,48201,EDUCATIVAS,491200
169,2012,48201,EDUCATIVAS,395700
170,2012,48201,EDUCATIVAS,349400
171,2012,48201,EDUCATIVAS,322400
172,2012,48201,EDUCATIVAS,304800
173,2012,48201,EDUCATIVAS,279400
174,2012,48201,EDUCATIVAS,229700
175,2012,48201,EDUCATIVAS,229700
176,2012,48201,DESARROLLO COMUNITARIO,229700
177,2012,48201,EDUCATIVAS,211100
178,2012,48201,EDUCATIVAS,190600
179,2012,48201,EDUCATIVAS,139700
180,2012,48201,EDUCATIVAS,102500
181,2012,48201,BENEFICENCIA,1450000
182,2012,48201,BENEFICENCIA,700000
183,2012,48201,DESARROLLO COMUNITARIO,6000000
184,2012,48201,BENEFICENCIA,650000
185,2012,48201,BENEFICENCIA,400000
186,2012,48201,BENEFICENCIA,200000
187,2012,48201,BENEFICENCIA,150000
188,2012,48201,BENEFICENCIA,120000
189,2012,48201,BENEFICENCIA,90000
190,2012,48201,BENEFICENCIA,80000
191,2012,48201,BENEFICENCIA,65000
192,2012,48201,BENEFICENCIA,65000
193,2012,48201,BENEFICENCIA,60000
194,2012,48201,DESARROLLO COMUNITARIO,2400000
195,2012,48201,BENEFICENCIA,40000
196,2012,48201,BENEFICENCIA,40000
197,2012,48201,DESARROLLO COMUNITARIO,2000000
198,2012,48201,EDUCATIVAS,100000
199,2012,48101,CULTURALES,1165071
200,2012,48101,CULTURALES,600000
201,2012,48101,CULTURALES,600000
202,2012,48101,CULTURALES,800000
203,2012,48101,CULTURALES,150000
204,2012,48101,CULTURALES,9000000
205,2012,48101,CULTURALES,750000
206,2012,48101,CULTURALES,2500000
207,2012,48101,CULTURALES,300000
208,2012,48101,CULTURALES,800000
209,2012,48101,CULTURALES,1500000
210,2012,48101,CULTURALES,300000
211,2012,48101,CULTURALES,450000
212,2012,48101,CULTURALES,350000
213,2012,48101,CULTURALES,1000000
214,2012,48101,CULTURALES,500000
215,2012,48101,CULTURALES,200000
216,2012,48201,CULTURALES,300000
217,2012,48201,CULTURALES,300000
218,2012,48201,CULTURALES,1000000
219,2012,48101,"EDUCATIVAS,SALUD",300000
220,2012,48101,"EDUCATIVAS,SALUD",200000
221,2012,48101,"EDUCATIVAS,SALUD",300000
222,2012,48101,"CULTURALES,EDUCATIVAS,SALUD",5250000
223,2012,48101,INVESTIGACIÓN CIENTÍFICA,11000000
224,2012,48101,CULTURALES,55000
225,2012,48101,CULTURALES,55000
226,2012,48101,CULTURALES,31782
227,2012,48101,CULTURALES,147375
228,2012,48101,CULTURALES,37196
229,2012,48101,CULTURALES,10000
230,2012,48101,CULTURALES,150000
231,2012,48101,CULTURALES,25000
232,2012,48101,CULTURALES,80000
233,2012,48101,CULTURALES,69229
234,2012,48101,CULTURALES,75000
235,2012,48101,CULTURALES,692400
236,2012,48101,CULTURALES,50000
237,2012,48101,CULTURALES,500000
238,2012,48101,CULTURALES,2206151
239,2012,48101,CULTURALES,777620
240,2012,48201,CULTURALES,200000
241,2012,48101,BENEFICENCIA,150000
242,2012,48101,SALUD,250000
243,2012,48101,BENEFICENCIA,270000
244,2012,48101,BENEFICENCIA,269909
245,2012,48101,BENEFICENCIA,270000
246,2012,48101,BENEFICENCIA,270000
247,2012,48101,SALUD,270000
248,2012,48101,BENEFICENCIA,270000
249,2012,48101,BENEFICENCIA,213000
250,2012,48101,BENEFICENCIA,270000
251,2012,48101,BENEFICENCIA,148960
252,2012,48101,BENEFICENCIA,270000
253,2012,48101,BENEFICENCIA,135000
254,2012,48101,BENEFICENCIA,267460
255,2012,48101,BENEFICENCIA,270000
256,2012,48101,SALUD,64918
257,2012,48101,BENEFICENCIA,270000
258,2012,48101,BENEFICENCIA,135000
259,2012,48101,BENEFICENCIA,270000
260,2012,48101,BENEFICENCIA,270000
261,2012,48101,"EDUCATIVAS,SALUD",270000
262,2012,48101,BENEFICENCIA,270000
263,2012,48101,BENEFICENCIA,265000
264,2012,48101,BENEFICENCIA,240940
265,2012,48101,BENEFICENCIA,270000
266,2012,48101,SALUD,270000
267,2012,48101,BENEFICENCIA,135000
268,2012,48101,EDUCATIVAS,231712
269,2012,48101,SALUD,270000
270,2012,48101,BENEFICENCIA,270000
271,2012,48101,BENEFICENCIA,269300
272,2012,48101,BENEFICENCIA,270000
273,2012,48101,BENEFICENCIA,270000
274,2012,48101,BENEFICENCIA,270000
275,2012,48101,BENEFICENCIA,240450
276,2012,48101,BENEFICENCIA,91750
277,2012,48101,EDUCATIVAS,237657
278,2012,48101,BENEFICENCIA,270000
279,2012,48101,BENEFICENCIA,270000
280,2012,48101,BENEFICENCIA,270000
281,2012,48101,SALUD,270000
282,2012,48101,BENEFICENCIA,270000
283,2012,48101,"EDUCATIVAS,SALUD",135000
284,2012,48101,BENEFICENCIA,270000
285,2012,48101,BENEFICENCIA,135000
286,2012,48101,BENEFICENCIA,110000
287,2012,48101,BENEFICENCIA,249935
288,2012,48101,BENEFICENCIA,261000
289,2012,48101,BENEFICENCIA,269786
290,2012,48101,BENEFICENCIA,225000
291,2012,48101,BENEFICENCIA,270000
292,2012,48501,NO TIENE ACTIVIDAD A FINANCIAR,127333
293,2012,48501,NO TIENE ACTIVIDAD A FINANCIAR,197787
294,2012,48101,OTRAS,9000000
295,2012,48101,EDUCATIVAS,1000000
296,2012,48101,SALUD,1500000
297,2012,48101,SALUD,2000000
298,2012,48101,EDUCATIVAS,347081
299,2012,48101,SALUD,400000
300,2012,48101,SALUD,1000000
301,2012,48101,EDUCATIVAS,2000000
302,2012,48101,OTRAS,8500000
303,2012,48101,OTRAS,4000000
304,2012,48101,NO TIENE ACTIVIDAD A FINANCIAR,5500000
305,2012,48201,OTRAS,30000000
306,2012,48201,OTRAS,8000000
307,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,7852919
308,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,2000000
309,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,2000000
310,2012,48201,BENEFICENCIA,3000000
311,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,500000
312,2012,48201,OTRAS,14000000
313,2012,48201,OTRAS,2000000
314,2012,48201,OTRAS,76000000
315,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,8000000
316,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,9000000
317,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,12000000
318,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,30000000
319,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,1500000
320,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,10000000
321,2012,48201,CULTURALES,1000000
322,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,7500000
323,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,106000000
324,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,2700000
325,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,3000000
326,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,70000000
327,2012,48201,NO TIENE ACTIVIDAD A FINANCIAR,3000000
328,2012,48201,OTRAS,5000000
329,2012,48201,CULTURALES,700000
330,2012,48101,CULTURALES,1000000
331,2012,48101,CULTURALES,2700000
332,2012,48101,CULTURALES,600000
333,2012,48101,CULTURALES,1000000
334,2012,48101,CULTURALES,1000000
335,2012,48101,CULTURALES,1000000
336,2012,48101,CULTURALES,300000
337,2012,48101,CULTURALES,250000
338,2012,48101,CULTURALES,1000000
339,2012,48101,CULTURALES,500000
340,2012,48101,CULTURALES,1000000
341,2012,48101,CULTURALES,1000000
342,2012,48101,CULTURALES,1500000
343,2012,48101,CULTURALES,2000000
344,2012,48101,CULTURALES,5000000
345,2012,48101,CULTURALES,20000000
346,2012,48101,CULTURALES,100000000
347,2012,48101,CULTURALES,9000000
348,2012,48101,CULTURALES,14500000
349,2012,48101,CULTURALES,1000000
350,2012,48101,CULTURALES,8000000
351,2012,48101,CULTURALES,3000000
352,2012,48101,EDUCATIVAS,2871768
353,2012,48101,EDUCATIVAS,2100000
354,2012,48101,CULTURALES,15000000
355,2012,48101,CULTURALES,1500000
356,2012,48101,CULTURALES,1000000
357,2012,48101,CULTURALES,1000000
358,2012,48101,CULTURALES,1000000
359,2012,48101,CULTURALES,2000000
360,2012,48101,CULTURALES,3000000
361,2012,48101,CULTURALES,500000
362,2012,48101,CULTURALES,2000000
363,2012,48101,CULTURALES,8550000
364,2012,48101,CULTURALES,6200000
365,2012,48101,CULTURALES,3000000
366,2012,48101,CULTURALES,2000000
367,2012,48101,CULTURALES,2500000
368,2012,48101,CULTURALES,2000000
369,2012,48101,CULTURALES,2000000
370,2012,48101,CULTURALES,35000000
371,2012,48101,CULTURALES,10000000
372,2012,48101,CULTURALES,8000000
373,2012,48101,CULTURALES,1296113
374,2012,48101,CULTURALES,1000000
375,2012,48101,CULTURALES,500000
376,2012,48101,CULTURALES,5200000
377,2012,48101,CULTURALES,500000
378,2012,48101,CULTURALES,500000
379,2012,48101,CULTURALES,2000000
380,2012,48101,CULTURALES,500000
381,2012,48101,CULTURALES,2500000
382,2012,48101,CULTURALES,1700000
383,2012,48101,CULTURALES,18800000
384,2012,48101,CULTURALES,4000000
385,2012,48101,CULTURALES,1000000
386,2012,48101,CULTURALES,2000000
387,2012,48101,CULTURALES,4000000
388,2012,48101,CULTURALES,5000000
389,2012,48101,CULTURALES,3200000
390,2012,48101,CULTURALES,3000000
